time,price,quantity
1631435419.541266,181.40000000,0.11000000
1631435419.542006,181.40000000,0.16000000
1631435419.7278259,181.41000000,0.07000000
1631435419.728619,181.41000000,0.18000000
1631435419.729273,181.41000000,1.62000000
1631435419.729774,181.41000000,0.11000000
1631435419.73038,181.41000000,0.25000000
1631435419.7776809,181.42000000,0.11000000
1631435420.077848,181.41000000,0.11000000
1631435420.4409118,181.40000000,0.63000000
1631435420.441671,181.39000000,1.64000000
1631435421.0277271,181.43000000,0.17000000
1631435421.0286698,181.43000000,0.16000000
1631435421.029113,181.43000000,0.11000000
1631435421.046441,181.44000000,0.11000000
1631435421.0473459,181.44000000,0.15000000
1631435421.177811,181.44000000,8.40000000
1631435421.1931782,181.45000000,0.41000000
1631435421.194031,181.45000000,0.44000000
1631435421.410867,181.44000000,8.40000000
1631435421.613128,181.46000000,0.94000000
1631435421.614223,181.46000000,0.18000000
1631435421.729302,181.47000000,0.14000000
1631435421.730365,181.47000000,0.33000000
1631435421.827883,181.48000000,0.07000000
1631435421.8291998,181.48000000,0.14000000
1631435421.8299048,181.48000000,0.15000000
1631435421.830445,181.48000000,0.34000000
1631435421.8310258,181.48000000,0.11000000
1631435421.831653,181.48000000,0.34000000
1631435421.832167,181.48000000,0.12000000
1631435422.127754,181.49000000,0.36000000
1631435422.1283588,181.49000000,15.64000000
1631435422.1822212,181.49000000,6.60000000
1631435422.3419142,181.49000000,6.50000000
1631435422.343882,181.49000000,3.78000000
1631435422.344341,181.49000000,41.00000000
1631435422.3446898,181.49000000,1.00000000
1631435422.345002,181.49000000,1.00000000
1631435422.345349,181.49000000,0.50000000
1631435422.345697,181.49000000,1.00000000
1631435422.346076,181.49000000,12.00000000
1631435422.347619,181.49000000,3.00000000
1631435422.37786,181.49000000,116.50000000
1631435422.38056,181.49000000,33.60000000
1631435422.39249,181.49000000,50.00000000
1631435422.5378969,181.49000000,33.60000000
1631435422.578638,181.49000000,1.46000000
1631435422.993978,181.49000000,5.07000000
1631435423.149984,181.49000000,2.14000000
1631435423.250926,181.49000000,2.98000000
1631435423.5615108,181.49000000,10.16000000
1631435423.6280792,181.49000000,0.27000000
1631435423.927789,181.49000000,1.17000000
1631435424.082187,181.49000000,16.27000000
1631435424.08619,181.49000000,13.08000000
1631435424.132648,181.49000000,12.37000000
1631435424.1590872,181.48000000,8.29000000
1631435424.160151,181.48000000,12.00000000
1631435424.1607392,181.48000000,0.22000000
1631435424.161325,181.45000000,0.11000000
1631435424.161889,181.45000000,0.27000000
1631435424.627879,181.45000000,12.00000000
1631435424.629235,181.45000000,5.50000000
1631435424.803509,181.44000000,5.00000000
1631435424.804438,181.44000000,12.00000000
1631435424.928734,181.44000000,6.42000000
1631435424.929985,181.43000000,0.06000000
1631435424.930657,181.41000000,2.00000000
1631435424.931305,181.41000000,2.14000000
1631435424.931941,181.40000000,8.26000000
1631435425.579009,181.45000000,0.06000000
1631435426.0321002,181.48000000,8.40000000
1631435426.03305,181.49000000,10.49000000
1631435426.26289,181.49000000,83.58000000
1631435426.402263,181.48000000,1.12000000
1631435426.402983,181.48000000,2.24000000
1631435426.447389,181.46000000,1.12000000
1631435426.448163,181.46000000,1.88000000
1631435426.4530401,181.46000000,0.36000000
1631435426.453805,181.46000000,1.12000000
1631435426.4542332,181.46000000,2.24000000
1631435426.6417458,181.41000000,0.23000000
1631435426.9278789,181.40000000,2.03000000
1631435427.227951,181.35000000,6.43000000
1631435427.449773,181.33000000,1.11000000
1631435427.4504588,181.34000000,0.12000000
1631435427.5779111,181.32000000,0.64000000
1631435427.697428,181.33000000,2.24000000
1631435427.698329,181.33000000,1.12000000
1631435427.698812,181.33000000,1.12000000
1631435427.699218,181.33000000,2.24000000
1631435427.6995788,181.33000000,1.12000000
1631435427.700005,181.33000000,2.24000000
1631435428.008013,181.41000000,0.12000000
1631435428.145702,181.40000000,0.12000000
1631435428.62798,181.40000000,0.10000000
1631435429.7843158,181.44000000,1.93000000
1631435429.8361611,181.46000000,1.10000000
1631435429.98051,181.46000000,4.00000000
1631435430.127997,181.41000000,0.07000000
1631435430.477814,181.46000000,2.14000000
1631435430.637266,181.46000000,0.50000000
1631435430.639518,181.46000000,0.50000000
1631435430.640131,181.46000000,3.50000000
1631435430.641014,181.46000000,2.50000000
1631435430.641515,181.46000000,8.50000000
1631435430.642005,181.46000000,5.12000000
1631435430.642609,181.46000000,6.75000000
1631435430.79969,181.49000000,3.36000000
1631435430.8039198,181.49000000,2.50000000
1631435430.8071291,181.49000000,3.00000000
1631435430.807803,181.49000000,1.50000000
1631435430.80832,181.49000000,6.00000000
1631435430.8087838,181.49000000,27.88000000
1631435430.8092391,181.49000000,2.00000000
1631435430.80975,181.49000000,6.00000000
1631435430.810157,181.49000000,2.50000000
1631435430.8106701,181.49000000,2.00000000
1631435430.8111732,181.49000000,2.00000000
1631435430.811898,181.49000000,2.00000000
1631435430.812628,181.49000000,0.50000000
1631435430.813226,181.49000000,3.50000000
1631435430.8136718,181.49000000,0.50000000
1631435430.8143518,181.49000000,1.00000000
1631435430.828018,181.49000000,0.50000000
1631435430.829067,181.49000000,2.50000000
1631435430.8295171,181.49000000,3.00000000
1631435430.8299148,181.49000000,3.00000000
1631435430.830327,181.49000000,2.50000000
1631435430.830709,181.49000000,2.00000000
1631435430.831106,181.49000000,2.50000000
1631435430.831517,181.49000000,2.00000000
1631435430.8319108,181.49000000,3.50000000
1631435430.8322618,181.49000000,3.00000000
1631435430.832725,181.49000000,4.00000000
1631435430.833101,181.49000000,0.50000000
1631435430.83343,181.49000000,33.60000000
1631435430.834156,181.49000000,40.00000000
1631435430.83453,181.49000000,24.50000000
1631435430.8348842,181.49000000,5.00000000
1631435430.835259,181.49000000,1.50000000
1631435430.835632,181.49000000,38.75000000
1631435430.835977,181.49000000,33.60000000
1631435430.836322,181.49000000,3.50000000
1631435430.8366878,181.49000000,51.72000000
1631435430.8370318,181.49000000,79.00000000
1631435430.8373692,181.49000000,1.50000000
1631435430.837714,181.49000000,7.00000000
1631435430.838067,181.49000000,5.50000000
1631435430.838413,181.49000000,4.50000000
1631435430.838793,181.49000000,0.50000000
1631435430.839146,181.49000000,19.00000000
1631435430.839486,181.49000000,8.00000000
1631435430.8398578,181.49000000,17.50000000
1631435430.8402271,181.49000000,1.50000000
1631435430.8405728,181.49000000,0.50000000
1631435430.840929,181.49000000,0.50000000
1631435430.841289,181.49000000,0.50000000
1631435430.8420491,181.49000000,4.50000000
1631435430.851969,181.49000000,48.00000000
1631435430.86404,181.49000000,105.50000000
1631435430.877913,181.49000000,0.50000000
1631435430.9078841,181.49000000,6.16000000
1631435430.9613912,181.49000000,4.00000000
1631435430.982388,181.49000000,1.00000000
1631435430.987273,181.49000000,4.00000000
1631435430.993621,181.49000000,1.00000000
1631435430.994721,181.49000000,0.50000000
1631435430.995328,181.49000000,35.00000000
1631435430.9998899,181.49000000,0.50000000
1631435431.001478,181.49000000,1.50000000
1631435431.0024152,181.49000000,2.00000000
1631435431.0030909,181.49000000,1.00000000
1631435431.003909,181.49000000,40.00000000
1631435431.00477,181.49000000,1.50000000
1631435431.0095308,181.49000000,5.00000000
1631435431.027967,181.49000000,12.93000000
1631435431.110909,181.49000000,2.00000000
1631435431.139227,181.49000000,13.34000000
1631435431.1603131,181.49000000,0.93000000
1631435431.2778912,181.49000000,6.70000000
1631435431.3821151,181.49000000,6.60000000
1631435431.4063518,181.48000000,1.12000000
1631435431.407563,181.46000000,6.42000000
1631435431.408593,181.45000000,7.49000000
1631435431.4092832,181.44000000,8.40000000
1631435431.409816,181.44000000,2.14000000
1631435431.4278789,181.47000000,8.40000000
1631435431.438258,181.43000000,8.40000000
1631435431.477924,181.49000000,13.41000000
1631435431.502644,181.48000000,1.12000000
1631435431.507905,181.48000000,2.24000000
1631435431.691873,181.49000000,3.00000000
1631435431.727905,181.49000000,0.53000000
1631435431.740289,181.47000000,1.12000000
1631435431.741089,181.47000000,2.24000000
1631435433.028918,181.49000000,8.00000000
1631435433.079113,181.49000000,8.00000000
1631435433.232864,181.49000000,6.60000000
1631435433.351511,181.49000000,8.78000000
1631435433.4778922,181.48000000,6.70000000
1631435433.5421,181.45000000,2.67000000
1631435433.561159,181.47000000,5.95000000
1631435433.778195,181.44000000,1.02000000
1631435433.7891269,181.41000000,7.00000000
1631435433.791266,181.41000000,21.74000000
1631435433.793352,181.41000000,27.47000000
1631435433.8289301,181.40000000,3.14000000
1631435433.829653,181.40000000,2.58000000
1631435433.830225,181.40000000,2.81000000
1631435433.830743,181.40000000,9.47000000
1631435433.831529,181.40000000,1.50000000
1631435433.850137,181.36000000,1.07000000
1631435433.9290938,181.35000000,0.06000000
1631435434.227904,181.36000000,2.24000000
1631435434.228891,181.36000000,1.12000000
1631435434.229584,181.36000000,1.12000000
1631435434.22995,181.36000000,2.12000000
1631435434.328088,181.34000000,1.12000000
1631435434.952447,181.34000000,8.40000000
1631435434.953242,181.34000000,10.88000000
1631435434.953839,181.36000000,4.20000000
1631435435.255382,181.31000000,3.21000000
1631435435.6413498,181.37000000,8.40000000
1631435435.641869,181.37000000,20.40000000
1631435435.642402,181.41000000,0.06000000
1631435435.7279801,181.36000000,4.05000000
1631435437.178118,181.31000000,1.43000000
1631435437.17939,181.31000000,0.27000000
1631435437.1799839,181.31000000,23.07000000
1631435437.180663,181.31000000,40.93000000
1631435437.227943,181.33000000,6.95000000
1631435437.481345,181.29000000,34.60000000
1631435437.5580108,181.26000000,13.78000000
1631435437.5589912,181.25000000,0.35000000
1631435437.61362,181.21000000,1.00000000
1631435437.6314628,181.20000000,1.09000000
1631435437.632454,181.20000000,0.32000000
1631435437.636773,181.16000000,3.21000000
