time,best_bid,best_ask
1631435256.5787258,180.70000000,180.76000000
1631435256.678815,180.70000000,180.76000000
1631435256.778736,180.70000000,180.76000000
1631435256.8786812,180.70000000,180.75000000
1631435256.9797928,180.70000000,180.76000000
1631435257.0788212,180.70000000,180.76000000
1631435257.2375932,180.70000000,180.76000000
1631435257.337909,180.70000000,180.76000000
1631435257.438007,180.70000000,180.76000000
1631435257.539944,180.70000000,180.76000000
1631435257.6387908,180.70000000,180.75000000
1631435257.739993,180.72000000,180.75000000
1631435257.837732,180.72000000,180.75000000
1631435257.937282,180.72000000,180.75000000
1631435258.110558,180.72000000,180.75000000
1631435258.2103271,180.72000000,180.75000000
1631435258.310852,180.72000000,180.75000000
1631435258.410362,180.72000000,180.75000000
1631435258.5109482,180.72000000,180.75000000
1631435258.6108558,180.72000000,180.75000000
1631435258.710381,180.72000000,180.75000000
1631435258.810901,180.72000000,180.75000000
1631435259.128719,180.72000000,180.75000000
1631435259.195978,180.72000000,180.75000000
1631435259.297185,180.72000000,180.75000000
1631435259.396657,180.72000000,180.76000000
1631435259.497393,180.72000000,180.76000000
1631435259.597248,180.72000000,180.76000000
1631435259.700947,180.72000000,180.76000000
1631435259.796372,180.72000000,180.75000000
1631435259.898527,180.76000000,180.78000000
1631435260.00486,180.76000000,180.78000000
1631435260.097176,180.76000000,180.78000000
1631435260.1974459,180.78000000,180.87000000
1631435260.296293,180.80000000,180.87000000
1631435260.396755,180.80000000,180.86000000
1631435260.496754,180.80000000,180.86000000
1631435260.604335,180.80000000,180.86000000
1631435260.6999328,180.80000000,180.86000000
1631435260.803851,180.80000000,180.87000000
1631435260.904716,180.80000000,180.87000000
1631435261.0078561,180.80000000,180.86000000
1631435261.1032588,180.80000000,180.86000000
1631435261.207226,180.84000000,180.86000000
1631435261.307879,180.85000000,180.86000000
1631435261.407837,180.85000000,180.87000000
1631435261.508343,180.85000000,180.87000000
1631435261.611428,180.85000000,180.86000000
1631435261.711531,180.81000000,180.86000000
1631435261.828914,180.81000000,180.86000000
1631435261.9289339,180.81000000,180.86000000
1631435262.011735,180.81000000,180.86000000
1631435262.128912,180.81000000,180.86000000
1631435262.229068,180.81000000,180.86000000
1631435262.328866,180.81000000,180.86000000
1631435262.4287622,180.81000000,180.86000000
1631435262.5299048,180.81000000,180.86000000
1631435262.62884,180.81000000,180.86000000
1631435262.728842,180.81000000,180.86000000
1631435262.828786,180.81000000,180.86000000
1631435262.928648,180.81000000,180.86000000
1631435263.028814,180.81000000,180.86000000
1631435263.1287968,180.81000000,180.86000000
1631435263.228925,180.81000000,180.86000000
1631435263.328793,180.81000000,180.86000000
1631435263.42881,180.81000000,180.86000000
1631435263.5288472,180.81000000,180.86000000
1631435263.628821,180.81000000,180.86000000
1631435263.728876,180.81000000,180.86000000
1631435263.828912,180.81000000,180.86000000
1631435263.928876,180.81000000,180.84000000
1631435264.028821,180.81000000,180.84000000
1631435264.128897,180.81000000,180.84000000
1631435264.228818,180.81000000,180.84000000
1631435264.3288572,180.81000000,180.84000000
1631435264.4290938,180.81000000,180.84000000
1631435264.528925,180.81000000,180.84000000
1631435264.631809,180.81000000,180.84000000
1631435264.728964,180.81000000,180.84000000
1631435264.828794,180.81000000,180.84000000
1631435264.9289339,180.81000000,180.84000000
1631435265.028822,180.81000000,180.84000000
1631435265.1288939,180.81000000,180.84000000
1631435265.228875,180.81000000,180.84000000
1631435265.328925,180.81000000,180.84000000
1631435265.4288151,180.81000000,180.84000000
1631435265.528915,180.73000000,180.82000000
1631435265.628887,180.73000000,180.76000000
1631435265.729301,180.68000000,180.76000000
1631435265.828877,180.68000000,180.76000000
1631435265.928847,180.68000000,180.75000000
1631435266.0288792,180.70000000,180.78000000
1631435266.12897,180.70000000,180.78000000
1631435266.228838,180.70000000,180.78000000
1631435266.32888,180.71000000,180.78000000
1631435266.428884,180.71000000,180.78000000
1631435266.528899,180.69000000,180.78000000
1631435266.628923,180.69000000,180.78000000
1631435266.7289028,180.70000000,180.78000000
1631435266.828944,180.70000000,180.78000000
1631435266.928983,180.70000000,180.78000000
1631435267.028985,180.70000000,180.78000000
1631435267.1288571,180.70000000,180.78000000
1631435267.245229,180.70000000,180.78000000
1631435267.344667,181.00000000,181.01000000
1631435267.444479,180.77000000,180.84000000
1631435267.546626,180.78000000,180.90000000
1631435267.64577,180.80000000,180.87000000
1631435267.778909,180.81000000,180.87000000
1631435267.846366,180.81000000,180.87000000
1631435267.945909,180.81000000,180.87000000
1631435268.0458,180.78000000,180.85000000
1631435268.145586,180.77000000,180.85000000
